state,x,y
andaman and nicobar islands,200,-300
andhra pradesh,-120,-190
arunachal pradesh,250,150
assam,240,90
bihar,70,70
chhattisgarh,-30,-30
delhi,-120,150
goa,-220,-200
gujarat,-250,0
haryana,-170,160
himachal pradesh,-150,240
jammu and kashmir,-190,290
jharkhand,60,30
karnataka,-170,-240
kerala,-200,-300
ladakh,-150,320
lakshadweep,-300,-300
madhya pradesh,-120,0
maharastra,-190,-70
manipur,270,40
megalaya,200,60
mizoram,250,0
nagaland,270,80
odisha,20,-70
punjab,-190,200
rajasthan,-220,90
sikkim,150,100
tamil nadu,-120,-300
telangana,-100,-120
tripura,210,10
uttar pradesh,0,90
uttarakhand,-110,190
west bengal,90,10
